,Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
0,Alex Abrines,SG,24.0,75.0,8.0,15.1,1.5,3.9,1.1,2.9,0.4,0.9,0.5,0.6,0.3,1.2,0.4,0.5,0.1,0.3,1.7
1,Quincy Acy,PF,27.0,70.0,8.0,19.4,1.9,5.2,1.5,4.2,0.4,1.0,0.7,0.9,0.6,3.1,0.8,0.5,0.4,0.9,2.1
2,Steven Adams,C,24.0,76.0,76.0,32.7,5.9,9.4,0.0,0.0,5.9,9.3,2.1,3.8,5.1,4.0,1.2,1.2,1.0,1.7,2.8
3,Bam Adebayo,C,20.0,69.0,19.0,19.8,2.5,4.9,0.0,0.1,2.5,4.8,1.9,2.6,1.7,3.8,1.5,0.5,0.6,1.0,2.0
4,Arron Afflalo,SG,32.0,53.0,3.0,12.9,1.2,3.1,0.5,1.3,0.7,1.7,0.4,0.5,0.1,1.2,0.6,0.1,0.2,0.4,1.1
5,Cole Aldrich,C,29.0,21.0,0.0,2.3,0.2,0.7,0.0,0.0,0.2,0.7,0.1,0.3,0.1,0.6,0.1,0.1,0.0,0.0,0.5
6,LaMarcus Aldridge,C,32.0,75.0,75.0,33.5,9.2,18.0,0.4,1.2,8.8,16.7,4.5,5.3,3.3,5.2,2.0,0.6,1.2,1.5,2.2
7,Jarrett Allen,C,19.0,72.0,31.0,20.0,3.3,5.5,0.1,0.2,3.2,5.3,1.6,2.0,2.0,3.4,0.7,0.4,1.2,1.1,2.0
8,Kadeem Allen,PG,25.0,18.0,1.0,5.9,0.3,1.2,0.0,0.6,0.3,0.6,0.4,0.5,0.2,0.4,0.7,0.2,0.1,0.5,0.8
9,Tony Allen,SF,36.0,22.0,0.0,12.4,2.0,4.1,0.2,0.5,1.8,3.6,0.5,1.0,0.9,1.2,0.4,0.5,0.1,0.9,2.2
10,Al-Farouq Aminu,PF,27.0,69.0,67.0,30.0,3.3,8.4,1.8,4.9,1.5,3.5,0.9,1.2,1.4,6.2,1.2,1.1,0.6,1.1,2.0
11,Justin Anderson,SF,24.0,38.0,0.0,13.7,2.3,5.3,0.9,2.7,1.4,2.6,0.7,1.0,0.7,1.8,0.7,0.4,0.2,0.4,1.4
12,Kyle Anderson,SF,24.0,74.0,67.0,26.7,3.1,5.9,0.3,0.8,2.9,5.1,1.4,2.0,1.1,4.2,2.7,1.6,0.8,1.3,1.5
13,Ryan Anderson,PF,29.0,66.0,50.0,26.1,3.1,7.3,2.0,5.1,1.2,2.1,1.1,1.4,1.4,3.6,0.9,0.4,0.3,0.6,1.9
14,Ike Anigbogu,C,19.0,11.0,0.0,2.7,0.4,0.8,0.0,0.0,0.4,0.8,0.5,0.5,0.5,0.4,0.0,0.1,0.3,0.2,0.1
15,Giannis Antetokounmpo,PF,23.0,75.0,75.0,36.7,9.9,18.7,0.6,1.9,9.3,16.8,6.5,8.5,2.1,8.0,4.8,1.5,1.4,3.0,3.1
16,Carmelo Anthony,PF,33.0,78.0,78.0,32.1,6.1,15.0,2.2,6.1,3.9,8.9,1.9,2.5,0.9,4.9,1.3,0.6,0.6,1.3,2.5
17,OG Anunoby,SF,20.0,74.0,62.0,20.0,2.2,4.7,1.0,2.7,1.2,2.0,0.5,0.8,0.6,1.9,0.7,0.7,0.2,0.6,1.8
18,Ryan Arcidiacono,PG,23.0,24.0,0.0,12.7,0.7,1.7,0.4,1.3,0.3,0.4,0.2,0.3,0.0,1.0,1.5,0.5,0.0,0.5,0.8
19,Trevor Ariza,SF,32.0,67.0,67.0,33.9,4.0,9.7,2.5,6.9,1.5,2.8,1.1,1.3,0.5,3.9,1.6,1.5,0.2,0.8,2.0
20,Darrell Arthur,PF,29.0,19.0,1.0,7.4,1.2,2.5,0.4,1.2,0.7,1.3,0.1,0.2,0.2,0.6,0.5,0.4,0.2,0.8,1.2
21,Jamel Artis,SG,25.0,15.0,1.0,18.6,2.1,5.3,0.5,1.9,1.5,3.3,0.5,0.8,0.3,2.3,1.2,0.1,0.2,0.5,0.7
22,Omer Asik,C,31.0,18.0,0.0,10.1,0.5,1.2,0.0,0.0,0.5,1.2,0.2,0.7,0.5,2.1,0.2,0.1,0.2,0.5,1.1
25,D.J. Augustin,PG,30.0,75.0,36.0,23.5,3.3,7.2,1.5,3.6,1.7,3.6,2.2,2.5,0.4,1.7,3.8,0.7,0.0,1.6,1.3
26,Luke Babbitt,SF,28.0,50.0,14.0,14.3,1.8,4.3,1.2,3.1,0.6,1.2,0.3,0.4,0.1,1.8,0.6,0.2,0.1,0.4,1.1
29,Dwayne Bacon,SG,22.0,53.0,6.0,13.5,1.4,3.6,0.2,0.8,1.2,2.8,0.4,0.5,0.1,2.3,0.7,0.3,0.0,0.4,0.9
30,Ron Baker,SG,24.0,29.0,1.0,13.3,0.7,2.0,0.4,1.1,0.3,0.9,0.7,0.9,0.2,0.9,1.6,0.9,0.2,0.6,1.1
31,Wade Baldwin,PG,21.0,7.0,0.0,11.4,2.0,3.0,0.6,0.7,1.4,2.3,0.9,1.4,0.1,1.0,0.7,0.3,0.1,0.6,1.7
32,Lonzo Ball,PG,20.0,52.0,50.0,34.2,3.9,10.8,1.7,5.7,2.2,5.2,0.6,1.4,1.3,5.6,7.2,1.7,0.8,2.6,2.3
33,J.J. Barea,PG,33.0,69.0,10.0,23.2,4.4,10.0,1.7,4.5,2.7,5.5,1.2,1.5,0.2,2.7,6.3,0.5,0.0,2.1,1.2
34,Harrison Barnes,PF,25.0,77.0,77.0,34.2,7.0,15.7,1.5,4.3,5.4,11.4,3.4,4.1,1.0,5.1,2.0,0.6,0.2,1.5,1.2
35,Will Barton,SG,27.0,81.0,40.0,33.1,5.7,12.7,1.9,5.2,3.8,7.5,2.2,2.8,0.9,4.2,4.1,1.0,0.6,1.8,2.1
36,Nicolas Batum,SG,29.0,64.0,64.0,31.0,4.2,10.2,1.4,4.3,2.8,5.9,1.7,2.0,0.9,3.9,5.5,1.0,0.4,2.0,1.1
37,Jerryd Bayless,SG,29.0,39.0,11.0,23.7,2.8,6.7,1.4,3.7,1.4,3.0,0.9,1.1,0.4,1.7,1.4,0.6,0.2,1.2,2.3
38,Aron Baynes,C,31.0,81.0,67.0,18.3,2.6,5.5,0.0,0.3,2.6,5.2,0.7,1.0,1.6,3.8,1.1,0.3,0.6,1.0,2.5
39,Kent Bazemore,SG,28.0,65.0,65.0,27.5,4.4,10.4,1.7,4.2,2.7,6.2,2.5,3.1,0.4,3.4,3.5,1.5,0.7,2.4,2.3
40,Bradley Beal,SG,24.0,82.0,82.0,36.3,8.3,18.1,2.4,6.5,5.9,11.6,3.6,4.5,0.7,3.7,4.5,1.2,0.4,2.6,2.0
41,Malik Beasley,SG,21.0,62.0,0.0,9.4,1.2,2.9,0.5,1.3,0.7,1.5,0.4,0.5,0.2,0.9,0.5,0.2,0.1,0.4,0.6
42,Michael Beasley,PF,29.0,74.0,30.0,22.3,5.5,10.9,0.5,1.2,5.1,9.7,1.7,2.1,1.3,4.3,1.7,0.5,0.6,1.9,2.0
43,Marco Belinelli,SG,31.0,80.0,2.0,24.3,4.2,9.5,1.9,4.9,2.4,4.6,1.9,2.0,0.2,1.6,1.9,0.8,0.2,1.2,1.1
46,Jordan Bell,C,23.0,57.0,13.0,14.2,2.0,3.2,0.0,0.1,2.0,3.2,0.5,0.8,1.1,2.6,1.8,0.6,1.0,0.9,1.6
47,DeAndre' Bembry,SF,23.0,26.0,3.0,17.5,2.0,4.9,0.4,1.2,1.6,3.8,0.7,1.3,0.3,2.5,1.9,0.8,0.5,1.8,1.5
48,Dragan Bender,PF,20.0,82.0,37.0,25.2,2.3,5.9,1.4,3.9,0.8,2.0,0.5,0.6,0.5,3.9,1.6,0.3,0.6,1.4,2.0
49,Davis Bertans,PF,25.0,77.0,10.0,14.1,2.1,4.8,1.2,3.3,0.9,1.5,0.5,0.6,0.2,1.8,1.0,0.3,0.4,0.5,1.2
50,Patrick Beverley,SG,29.0,11.0,11.0,30.4,4.4,10.8,2.2,5.5,2.2,5.4,1.3,1.5,1.5,2.6,2.9,1.6,0.5,2.3,3.1
51,Khem Birch,C,25.0,42.0,0.0,13.8,1.6,3.0,0.0,0.0,1.6,3.0,1.0,1.5,1.7,2.6,0.8,0.4,0.5,0.5,1.3
52,Jabari Bird,SG,23.0,13.0,1.0,8.8,1.2,2.0,0.2,0.5,0.9,1.5,0.5,1.0,0.5,1.0,0.6,0.2,0.1,0.6,0.5
53,Bismack Biyombo,C,25.0,82.0,25.0,18.2,2.2,4.3,0.0,0.0,2.2,4.3,1.2,1.9,1.8,4.0,0.8,0.3,1.2,1.0,1.9
54,Nemanja Bjelica,PF,29.0,67.0,21.0,20.5,2.6,5.5,1.1,2.7,1.4,2.8,0.5,0.7,0.8,3.3,1.3,0.7,0.2,0.8,2.1
55,Tarik Black,C,26.0,51.0,2.0,10.5,1.5,2.5,0.0,0.2,1.5,2.3,0.6,1.2,1.2,2.0,0.3,0.4,0.6,0.7,2.1
56,Antonio Blakeney,SG,21.0,19.0,0.0,16.5,2.8,7.5,0.8,2.7,2.0,4.8,1.6,2.1,0.2,1.5,1.1,0.4,0.1,0.6,1.0
57,Eric Bledsoe,PG,28.0,74.0,74.0,31.4,6.3,13.4,1.7,4.9,4.6,8.5,3.4,4.3,0.7,3.1,5.0,2.0,0.6,2.9,2.5
60,Vander Blue,SG,25.0,5.0,0.0,9.0,0.2,1.0,0.0,0.4,0.2,0.6,0.2,0.4,0.0,0.2,0.6,0.2,0.0,0.6,0.4
61,Bogdan Bogdanovic,SG,25.0,78.0,53.0,27.9,4.4,9.9,1.7,4.2,2.8,5.7,1.3,1.5,0.4,2.5,3.3,0.9,0.2,1.6,2.2
62,Bojan Bogdanovic,SF,28.0,80.0,80.0,30.8,5.1,10.7,1.9,4.8,3.1,5.8,2.2,2.6,0.4,3.0,1.5,0.7,0.1,1.3,1.6
63,Andrew Bogut,C,33.0,23.0,5.0,9.4,0.7,1.1,0.0,0.0,0.7,1.1,0.1,0.1,1.1,2.3,0.7,0.2,0.6,0.8,1.7
64,Joel Bolomboy,PF,24.0,6.0,0.0,6.3,0.5,1.0,0.0,0.2,0.5,0.8,0.5,1.0,1.0,0.7,0.0,0.3,0.0,0.3,0.5
65,Devin Booker,SG,21.0,54.0,54.0,34.5,8.4,19.5,2.7,7.1,5.7,12.4,5.4,6.1,0.5,4.0,4.7,0.9,0.3,3.6,3.1
66,Trevor Booker,PF,30.0,68.0,7.0,17.0,2.6,5.0,0.1,0.5,2.5,4.6,1.0,1.4,1.7,3.0,1.2,0.4,0.3,0.9,1.8
70,Chris Boucher,PF,25.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,Avery Bradley,SG,27.0,46.0,46.0,31.2,5.6,13.6,1.6,4.4,4.0,9.2,1.4,1.8,0.5,2.0,2.0,1.1,0.2,2.2,2.0
74,Tony Bradley,C,20.0,9.0,0.0,3.2,0.3,1.2,0.0,0.1,0.3,1.1,0.2,0.2,0.4,0.8,0.1,0.0,0.0,0.0,0.1
75,Corey Brewer,SF,31.0,72.0,18.0,16.8,2.0,4.4,0.4,1.5,1.5,2.9,0.9,1.3,0.6,1.5,0.9,1.1,0.2,0.7,1.9
78,Malcolm Brogdon,PG,25.0,48.0,20.0,29.9,5.1,10.5,1.3,3.4,3.8,7.1,1.6,1.8,0.5,2.8,3.2,0.9,0.3,1.4,2.7
79,Aaron Brooks,PG,33.0,32.0,1.0,5.9,0.9,2.2,0.3,1.0,0.5,1.2,0.3,0.3,0.2,0.3,0.6,0.2,0.0,0.3,0.9
80,Dillon Brooks,SF,22.0,82.0,74.0,28.7,4.1,9.4,1.1,3.2,3.0,6.2,1.5,2.0,0.6,2.5,1.6,0.9,0.2,1.5,2.8
81,MarShon Brooks,SG,29.0,7.0,1.0,27.6,7.3,14.6,2.7,4.6,4.6,10.0,2.9,3.3,1.1,1.9,3.6,1.6,0.4,2.3,0.9
82,Anthony Brown,SF,25.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,Bobby Brown,PG,33.0,20.0,0.0,5.8,1.0,2.9,0.6,2.0,0.4,0.9,0.1,0.1,0.0,0.4,0.6,0.2,0.0,0.5,0.3
84,Jaylen Brown,SG,21.0,70.0,70.0,30.7,5.3,11.5,1.7,4.4,3.6,7.1,2.1,3.3,0.9,4.0,1.6,1.0,0.4,1.8,2.6
85,Lorenzo Brown,PG,27.0,14.0,0.0,9.9,1.0,2.4,0.1,0.9,0.9,1.6,0.1,0.1,0.1,1.0,0.9,0.4,0.0,0.2,0.5
86,Markel Brown,SG,26.0,4.0,0.0,7.8,0.5,1.8,0.3,1.3,0.3,0.5,0.0,0.0,0.3,1.0,0.5,0.0,0.0,0.5,1.5
87,Sterling Brown,SG,22.0,54.0,4.0,14.4,1.5,3.8,0.6,1.7,0.9,2.1,0.4,0.4,0.5,2.1,0.5,0.6,0.2,0.5,1.5
88,Nicolas Brussino,SF,24.0,4.0,0.0,2.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
89,Thomas Bryant,C,20.0,15.0,0.0,4.8,0.5,1.4,0.1,0.7,0.5,0.7,0.3,0.6,0.2,0.9,0.4,0.1,0.1,0.1,0.4
90,Reggie Bullock,SF,26.0,62.0,52.0,27.9,4.3,8.8,2.0,4.5,2.3,4.3,0.6,0.8,0.4,2.0,1.5,0.8,0.2,0.8,1.1
91,Trey Burke,PG,25.0,36.0,9.0,21.8,5.4,10.7,1.1,2.9,4.3,7.8,1.0,1.6,0.4,1.6,4.7,0.7,0.1,1.2,1.2
92,Alec Burks,SG,26.0,64.0,1.0,16.5,2.7,6.5,0.7,2.2,1.9,4.3,1.7,1.9,0.3,2.7,1.0,0.6,0.1,0.9,1.2
93,Jimmy Butler,SG,28.0,59.0,59.0,36.7,7.4,15.6,1.2,3.4,6.2,12.2,6.2,7.2,1.3,4.0,4.9,2.0,0.4,1.8,1.3
94,Dwight Buycks,PG,28.0,29.0,0.0,14.7,2.8,6.8,0.5,1.6,2.3,5.3,1.2,1.4,0.4,1.0,2.0,0.7,0.1,1.3,1.3
95,Bruno Caboclo,SF,22.0,12.0,0.0,8.9,0.8,2.6,0.3,1.4,0.5,1.2,0.4,0.5,0.6,1.3,0.4,0.3,0.3,0.3,0.7
98,Jose Calderon,PG,36.0,57.0,32.0,16.0,1.6,3.2,0.8,1.7,0.8,1.5,0.4,0.5,0.2,1.2,2.1,0.5,0.0,0.7,1.4
99,Kentavious Caldwell-Pope,SG,24.0,74.0,74.0,33.2,4.6,10.8,2.1,5.6,2.4,5.2,2.1,2.6,0.8,4.4,2.2,1.4,0.2,1.3,2.0
100,Isaiah Canaan,PG,26.0,20.0,1.0,21.1,2.6,6.9,1.1,3.3,1.5,3.6,2.3,2.6,0.3,2.0,3.8,0.8,0.1,1.5,1.8
103,Clint Capela,C,23.0,74.0,74.0,27.5,6.0,9.1,0.0,0.0,6.0,9.1,1.9,3.5,3.3,7.6,0.9,0.8,1.9,1.4,2.5
104,DeMarre Carroll,SF,31.0,73.0,73.0,29.9,4.5,10.8,2.0,5.4,2.5,5.4,2.6,3.4,1.4,5.1,2.0,0.8,0.4,1.4,2.3
105,Vince Carter,SF,41.0,58.0,5.0,17.7,2.0,4.9,1.0,2.8,1.0,2.0,0.5,0.6,0.3,2.2,1.2,0.7,0.4,0.6,1.7
106,Michael Carter-Williams,PG,26.0,52.0,2.0,16.1,1.5,4.4,0.3,1.1,1.2,3.3,1.4,1.7,0.7,1.9,2.2,0.8,0.4,1.0,1.9
107,Alex Caruso,PG,23.0,37.0,7.0,15.2,1.4,3.1,0.4,1.2,1.0,2.0,0.6,0.8,0.4,1.4,2.0,0.6,0.3,1.1,1.4
108,Omri Casspi,SF,29.0,53.0,7.0,14.0,2.3,3.9,0.2,0.4,2.1,3.5,0.9,1.3,0.6,3.2,1.0,0.3,0.4,0.7,1.3
109,Willie Cauley-Stein,C,24.0,73.0,58.0,28.0,5.3,10.6,0.0,0.2,5.3,10.4,2.1,3.4,1.8,5.2,2.4,1.1,0.9,1.5,2.5
110,Tyler Cavanaugh,PF,23.0,39.0,1.0,13.3,1.7,3.9,0.8,2.3,0.9,1.6,0.4,0.5,1.2,2.1,0.7,0.2,0.1,0.4,1.6
111,Mario Chalmers,PG,31.0,66.0,10.0,21.5,2.5,6.7,0.8,2.9,1.7,3.8,1.8,2.1,0.2,2.2,3.0,1.2,0.2,1.8,2.7
112,Tyson Chandler,C,35.0,46.0,46.0,25.0,2.6,4.1,0.0,0.0,2.6,4.1,1.3,2.0,2.9,6.2,1.2,0.3,0.6,1.3,2.3
113,Wilson Chandler,SF,30.0,74.0,71.0,31.7,3.8,8.5,1.2,3.3,2.6,5.2,1.2,1.5,1.4,4.0,2.2,0.6,0.5,1.2,2.1
114,Marquese Chriss,PF,20.0,72.0,49.0,21.2,2.8,6.6,0.8,2.6,2.0,4.0,1.3,2.2,1.1,4.4,1.2,0.7,1.0,1.5,2.8
115,Ian Clark,SG,26.0,74.0,2.0,19.7,3.0,6.7,0.8,2.6,2.2,4.1,0.6,0.8,0.1,1.6,1.5,0.4,0.1,0.8,1.6
116,Jordan Clarkson,SG,25.0,81.0,2.0,23.3,5.3,11.8,1.4,3.9,3.9,7.9,1.9,2.3,0.7,2.0,2.7,0.7,0.1,1.6,1.3
119,Gian Clavell,SG,24.0,7.0,0.0,9.1,0.9,2.6,0.9,2.1,0.0,0.4,0.3,0.3,0.1,0.9,0.4,0.3,0.0,0.3,1.1
120,Antonius Cleveland,SG,23.0,17.0,0.0,7.2,0.5,1.2,0.2,0.2,0.3,1.0,0.2,0.4,0.2,0.6,0.1,0.4,0.3,0.4,1.4
123,John Collins,PF,20.0,74.0,26.0,24.1,4.2,7.4,0.2,0.6,4.0,6.7,1.8,2.5,2.4,4.9,1.3,0.6,1.1,1.4,2.9
124,Zach Collins,C,20.0,66.0,1.0,15.8,1.7,4.4,0.5,1.7,1.2,2.7,0.4,0.6,0.7,2.7,0.8,0.3,0.5,0.9,2.0
125,Kyle Collinsworth,SF,26.0,32.0,2.0,15.0,1.2,3.1,0.1,0.5,1.1,2.6,0.7,1.3,1.0,2.3,1.8,0.5,0.3,0.8,1.4
126,Darren Collison,PG,30.0,69.0,64.0,29.2,4.6,9.2,1.4,3.0,3.2,6.3,1.8,2.1,0.5,2.0,5.3,1.3,0.2,1.2,1.8
127,Nick Collison,PF,37.0,15.0,0.0,5.0,0.9,1.3,0.0,0.0,0.9,1.3,0.3,0.9,0.5,0.9,0.3,0.0,0.0,0.5,0.5
128,Mike Conley,PG,30.0,12.0,12.0,31.1,5.3,14.0,2.0,6.4,3.3,7.6,4.4,5.5,0.0,2.3,4.1,1.0,0.3,1.5,2.0
129,Pat Connaughton,SG,25.0,82.0,5.0,18.1,2.0,4.8,0.9,2.6,1.1,2.2,0.5,0.5,0.4,1.5,1.1,0.3,0.3,0.5,1.5
130,Quinn Cook,PG,24.0,33.0,18.0,22.4,3.7,7.6,1.4,3.2,2.3,4.5,0.7,0.8,0.3,2.2,2.7,0.4,0.0,1.0,1.8
